timestamp	phase	unit	hypothesis	decision	why	evidence	result
2026-09-12T00:00:00-03:00	0	plan	El objetivo requiere un mapa exhaustivo antes de editar	Crear plan maestro y doce fases	El usuario aprobó explícitamente continuar	plans/audit_01_app_exhaustiva.md	VERIFIED
2026-09-12T12:55:42-03:00	1	browser	La auditoría visual necesita una superficie actual	Usar Chrome headless mediante el Selenium existente	CUA devolvió Browser is not available para iab y chrome	capturas en .audit/baseline	VERIFIED
2026-09-12T12:55:42-03:00	1	suite	La versión inicial puede tener fallos funcionales cubiertos	Conservar los resultados como línea base	Los nueve scripts versionados terminaron en código 0	salida de ejecución actual	VERIFIED
2026-09-12T12:55:42-03:00	1	people-scroll	El alta máxima rompe el rango de scroll o mueve el CTA	No corregir sin reproducción	scrollTop 0 y 1809; máximo 1809; CTA 645..689	.audit/measurements/baseline.json	NOT VERIFIED
2026-09-12T12:55:42-03:00	1	preview	La vista previa desperdicia altura útil	Reducir márgenes y altura auxiliar desktop	canvas 348 px; gap a overview 53 px en 1280x757	.audit/baseline/demo-1280x757.png	VERIFIED
2026-09-12T12:55:42-03:00	1	social-layouts	Las piezas 04-09 tienen hero y espacios desequilibrados	Corregir rectángulos en el renderer activo	9 PNG reales abiertos e inspeccionados	.audit/baseline/posters/	VERIFIED
2026-09-12T12:55:42-03:00	1	legacy-harness	El harness no versionado sigue vigente	No modificarlo ni usar su fallo como fallo de producto	9 PNG válidos; timeout posterior en #copy-caption	.tmp-ux-review/real-audit/real_audit.py	VERIFIED
2026-09-12T16:30:00-03:00	2	editor-scroll	El alta máxima impide alcanzar controles o mueve el CTA	Conservar estructura y añadir aserciones geométricas	Rango 0..1809 exacto; CTA estable; cinco bloques navegables	tests/ui_smoke.py + .audit/capture_baseline.py	VERIFIED
2026-09-12T16:30:00-03:00	3	validation	Los errores de hora y URL dejan estado residual	Conservar validación actual	Ambos errores aparecen y desaparecen al corregir datos	tests/content_meeting_e2e.py	VERIFIED
2026-09-12T16:30:00-03:00	4	people-density	Seis personas pisan moderación en la pieza 01	Compactar retratos y nombres sólo en densidad mayor a tres	Nueve salidas máximas abiertas; sin solapamientos	.audit/screenshots/phase08/max-output-*.png	VERIFIED
2026-09-12T16:30:00-03:00	5	background-opacity	El renderer ignora el rango 0..60 de la UI	Usar el valor real normalizado	Fondo al 55% detectado en las nueve exportaciones	tests/downloads_e2e.py	VERIFIED
2026-09-12T16:30:00-03:00	6	share-block	Texto para compartir debe ser bloque 05 estable	Conservarlo en sidebar y verificar copiar/descargar	Bloque 05 visible; TXT de 268 bytes descargado	tests/stage_controls_e2e.py + tests/downloads_e2e.py	VERIFIED
2026-09-12T16:30:00-03:00	7	preview	Márgenes y límites CSS cortan o encogen el poster	Reducir aire desktop y quitar límites conflictivos por breakpoint	398 px a 1280x757; 721 px a 1920x1080; móvil horizontal usa scroll	.audit/measurements/screenshots/final.json	VERIFIED
2026-09-12T16:30:00-03:00	8	social-layouts	Hero y título carecen de jerarquía o alineación	Redistribuir los rectángulos del renderer activo	Nueve comparaciones baseline/final y nueve estados máximos inspeccionados	.audit/baseline/posters/ + .audit/screenshots/phase08/	VERIFIED
2026-09-12T16:30:00-03:00	9	exports	Algún formato generado pierde estado o dimensiones	Conservar pipeline y forzar todas las descargas	9 PNG + ZIP 12 entradas + JSON + TXT válidos	tests/downloads_e2e.py + tests/project_actions_e2e.py	VERIFIED
2026-09-12T16:30:00-03:00	10	responsive	Los límites del preview fallan en zoom equivalente y landscape	Aplicar mínimos sólo donde la geometría los tolera	Cinco viewports + 844x390 + equivalentes 80/125/200 sin overflow horizontal	.audit/screenshots/phase10/ + .audit/screenshots/final/	VERIFIED
2026-09-12T16:30:00-03:00	11	dead-css	Cinco familias CSS sin DOM ni callers son residuos	Eliminar sólo selectores probados sin referencia	Pruebas focales y suite completa permanecen verdes	index.html + suite 9/9	VERIFIED
2026-09-12T16:30:00-03:00	12	final-suite	El conjunto integrado puede haber introducido regresiones	Ejecutar los nueve recorridos desde estado limpio	Todos terminaron en código 0; consola sin SEVERE	salida final de tests/	VERIFIED
2026-09-12T15:31:29-03:00	13	panorama-moderators	El renderer panorámico ignora el desplazamiento vertical calculado	Consumir item.y y auditar los bloques dibujados	Primer bloque termina en 603; segundo comienza en 728; sin issues	browser-use capturas 23/28 + tests/people_controls_e2e.py + suite 9/9	VERIFIED
